name,address,city,state,zipcode,phone,url
Slim's,333 11th St.,San Francisco,CA,94103,415-255-0333,slimspresents.com
Great American Music Hall,859 O'Farrell St.,San Francisco,CA,94109,415-885-0750,gamh.com
The Hotel Utah Saloon,500 4th St.,San Francisco,CA,94107,415-546-6300,hotelutah.com
Amnesia,853 Valencia St.,San Francisco,CA,94110,415-970-0012,amnesiathebar.com
Revolution Cafe,3248 22nd St.,San Francisco,CA,94110,415-642-0474,revolutioncafesf.com
Cafe Du Nord,2170 Market St.,San Francisco,CA,94114,415-861-5016,cafedunord.com
Yoshi's SF,1330 Fillmore St.,San Francisco,CA,94115,415-655-5600,yoshis.com/sanfrancisco
Boom Boom Room,1601 Fillmore St.,San Francisco,CA,94115,415-673-8000,boomboomblues.com
The Chapel,777 Valencia St.,San Francisco,CA,94110,415-551-5157,thechapelsf.com
Sub-Mission,2183 Mission St.,San Francisco,CA,94110,sf-submission.com
Brick & Mortar Music Hall,1710 Mission St.,San Francisco,CA,94103,415-800-8782,brickandmortarmusic.com
Public Works,161 Erie St.,San Francisco,CA,94103,415-779-6757,publicsf.com
Wish,1539 Folsom St.,San Francisco,CA,94103,415-431-1661,wishsf.com
Holy Cow Nightclub,1535 Folsom St.,San Francisco,CA,94103,415-621-6087,theholycow.com
Beatbox,314 11th St.,San Francisco,CA,94103,415-500-2675,beatboxsf.com
Butter,354 11th St.,San Francisco,CA,94103,415-863-5964,smoothasbutter.com
DNA Lounge,375 11th St.,San Francisco,CA,94103,415-626-1409,dnalounge.com
Bruno's,2389 Mission St.,San Francisco,CA,94110,415-643-5200,brunosf.com
Savanna Jazz,2937 Mission St.,San Francisco,CA,94110,415-285-3369,savanajazz.com
El Rio,3158 Mission St.,San Francisco,CA,94110,415-282-3325,elriosf.com
Blondies' Bar & No Grill,540 Valencia St.,San Francisco,CA,94110,415-864-2419,
1015 Folsom,1015 Folsom St.,San Francisco,CA,94103,415-431-1200,1015.com
Cat Club,1190 Folsom St.,San Francisco,CA,94103,415-703-8965,sfcatclub.com
Icon Ultra Lounge,1192 Folsom St.,San Francisco,CA,94103,415-626-4800,iconloungesf.comPui
Pura Club,1015 Folsom St.,San Francisco,CA,94103,415-419-6969,1015.com
The Endup,401 6th St.,San Francisco,CA,94708,415-896-1075,theendup.com
Ruby Skye,420 Mason St.,San Francisco,CA,94102,415-693-0777,rubyskye.com
Raven Bar,1151 Folsom St.,San Francisco,CA,94103,415-431-1151,ravenbarsf.com
Nob Hill Masonic Center,1111 California St.,San Francisco,CA,94108,415-776-7457,masonicauditorium.com
The Independent,628 Divisadero St.,San Francisco,CA,94117,415-771-1421,theindependentsf.com
SFJAZZ Center,201 Franklin St.,San Francisco,CA,94102,866-920-5299,sfjazz.org
Orpheum Theatre,1192 Market St.,San Francisco,CA,94102,888-746-1799,shnsf.com
The Warfield,982 Market St.,San Francisco,CA,94102,415-345-0900,thewarfieldtheatre.com
Monarch,101 6th St.,San Francisco,CA,94103,415-284-9774,monarchsf.com
Mighty,119 Utah St.,San Francisco,CA,94103,415-762-0151,mighty119.com
Thee Parkside,1600 17th St.,San Francisco,CA,94107,415-252-1330,theeparkside.com
Bottom of the Hill,1233 17th St.,San Francisco,CA,94107,415-626-4455,bottomofthehill.com
Verdi Club,2424 Mariposa St.,San Francisco,CA,94110,415-861-9199,verdiclub.net
Hemlock Tavern,1131 Polk St.,San Francisco,CA,94109,415-923-0923,hemlocktavern.com
Rickshaw Stop,155 Fell St.,San Francisco,CA,94102,415-861-2011,rickshawstop.com
Biscuits and Blues,401 Mason St.,San Francisco,CA,94102,415-292-2583,biscuitandblues.com
Mezzanine,444 Jessie St.,San Francisco,CA,94103,415-625-8880,mezzaninesf.com
Cafe Royale,800 Post St.,San Francisco,CA,94109,415-441-4099,caferoyale-sf.com
Swig,561 Geary St.,San Francisco,CA,94102,415-931-7292,swigbar.com
Red Devil Lounge,1695 Polk St.,San Francisco,CA,94109,415-921-1695,reddevillounge.com
The Beauty Bar, 2299 Mission St.,San Francisco,CA,94110,415-285-0323,thebeautybar.com/san_francisco
Little Baobab,3376 19th St.,San Francisco,CA,94110,415-643-3558,
Benders Bar,806 S Van Ness Ave,San Francisco,CA,94110,415-824-1800,bendersbar.com
